,Rank,Team,Change,Prior,Date,Division
7,8,Boston Slow,-,8,2021-11-03,CLUB_MIXED
8,9,Ann Arbor Hybrid,-,9,2021-11-03,CLUB_MIXED
9,10,Boston Sprocket,-,10,2021-11-03,CLUB_MIXED
10,11,Cleveland Crocs,+1,12,2021-11-03,CLUB_MIXED
11,12,Arizona Lawless,+1,13,2021-11-03,CLUB_MIXED
12,13,San Francisco Mischief,+1,14,2021-11-03,CLUB_MIXED
13,14,Columbus Cocktails,+2,16,2021-11-03,CLUB_MIXED
14,15,Chicago U54 Ultimate,+3,18,2021-11-03,CLUB_MIXED
15,16,Boise Lochsa,,-,2021-11-03,CLUB_MIXED
16,17,Seattle Sorta,-6,11,2021-11-03,CLUB_MIXED
17,18,Madison NOISE,,-,2021-11-03,CLUB_MIXED
18,19,Nashville ‘Shine,+2,21,2021-11-03,CLUB_MIXED
19,20,Los Angeles Lotus,+2,22,2021-11-03,CLUB_MIXED
20,21,San Francisco Polar Bears,+2,23,2021-11-03,CLUB_MIXED
21,22,New York XIST,-3,19,2021-11-03,CLUB_MIXED
22,23,Montana MOONDOG,+2,25,2021-11-03,CLUB_MIXED
23,24,Denver Love Tractor,,-,2021-11-03,CLUB_MIXED
24,25,Dallas Public Enemy,-8,17,2021-11-03,CLUB_MIXED
0,1,Washington DC Space Heater,+1,2,2021-11-03,CLUB_MIXED
1,2,Seattle BFG,+2,4,2021-11-03,CLUB_MIXED
2,3,Seattle Mixtape,-2,1,2021-11-03,CLUB_MIXED
3,4,Fort Collins shame.,-1,3,2021-11-03,CLUB_MIXED
4,5,Minneapolis Drag’N Thrust,-,5,2021-11-03,CLUB_MIXED
5,6,Philadelphia AMP,-,6,2021-11-03,CLUB_MIXED
6,7,Durham Toro,-,7,2021-11-03,CLUB_MIXED
7,8,Boston Slow,+2,10,2021-11-03,CLUB_MIXED
8,9,Ann Arbor Hybrid,+2,11,2021-11-03,CLUB_MIXED
9,10,Boston Sprocket,+2,12,2021-11-03,CLUB_MIXED
10,11,Seattle Sorta,+2,13,2021-11-03,CLUB_MIXED
11,12,Cleveland Crocs,+2,14,2021-11-03,CLUB_MIXED
12,13,Arizona Lawless,-5,8,2021-11-03,CLUB_MIXED
13,14,San Francisco Mischief,-5,9,2021-11-03,CLUB_MIXED
14,15,Seattle Birdfruit,-,15,2021-11-03,CLUB_MIXED
15,16,Columbus Cocktails,-,16,2021-11-03,CLUB_MIXED
16,17,Dallas Public Enemy,-,17,2021-11-03,CLUB_MIXED
17,18,Chicago U54 Ultimate,+1,19,2021-11-03,CLUB_MIXED
18,19,New York XIST,-1,18,2021-11-03,CLUB_MIXED
19,20,Washington DC Rally,-,20,2021-11-03,CLUB_MIXED
20,21,Nashville ‘Shine,-,21,2021-11-03,CLUB_MIXED
21,22,Los Angeles Lotus,,-,2021-11-03,CLUB_MIXED
22,23,San Francisco Polar Bears,,-,2021-11-03,CLUB_MIXED
23,24,Oregon Administrators,-2,22,2021-11-03,CLUB_MIXED
24,25,Montana MOONDOG,-2,23,2021-11-03,CLUB_MIXED
0,1,Seattle Mixtape,-,1,2021-11-03,CLUB_MIXED
1,2,Washington DC Space Heater,-,2,2021-11-03,CLUB_MIXED
2,3,Fort Collins shame.,-,3,2021-11-03,CLUB_MIXED
3,4,Seattle BFG,-,4,2021-11-03,CLUB_MIXED
4,5,Minneapolis Drag’N Thrust,-,5,2021-11-03,CLUB_MIXED
5,6,Philadelphia AMP,-,6,2021-11-03,CLUB_MIXED
6,7,Durham Toro,-,7,2021-11-03,CLUB_MIXED
7,8,Arizona Lawless,-,8,2021-11-03,CLUB_MIXED
8,9,San Francisco Mischief,-,9,2021-11-03,CLUB_MIXED
9,10,Boston Slow,-,10,2021-11-03,CLUB_MIXED
10,11,Ann Arbor Hybrid,+1,12,2021-11-03,CLUB_MIXED
11,12,Boston Sprocket,-1,11,2021-11-03,CLUB_MIXED
12,13,Seattle Sorta,+1,14,2021-11-03,CLUB_MIXED
13,14,Cleveland Crocs,+2,16,2021-11-03,CLUB_MIXED
14,15,Seattle Birdfruit,+2,17,2021-11-03,CLUB_MIXED
15,16,Columbus Cocktails,+3,19,2021-11-03,CLUB_MIXED
16,17,Dallas Public Enemy,-4,13,2021-11-03,CLUB_MIXED
17,18,New York XIST,-3,15,2021-11-03,CLUB_MIXED
18,19,Chicago U54 Ultimate,+2,21,2021-11-03,CLUB_MIXED
19,20,Washington DC Rally,+2,22,2021-11-03,CLUB_MIXED
20,21,Nashville ‘Shine,+2,23,2021-11-03,CLUB_MIXED
21,22,Oregon Administrators,+2,24,2021-11-03,CLUB_MIXED
22,23,Montana MOONDOG,+2,25,2021-11-03,CLUB_MIXED
23,24,Madison NOISE,,-,2021-11-03,CLUB_MIXED
24,25,Huntsville Space Force,,-,2021-11-03,CLUB_MIXED
0,1,Seattle Mixtape,+1,2,2021-11-03,CLUB_MIXED
1,2,Washington DC Space Heater,-1,1,2021-11-03,CLUB_MIXED
2,3,Fort Collins shame.,-,3,2021-11-03,CLUB_MIXED
3,4,Seattle BFG,-,4,2021-11-03,CLUB_MIXED
4,5,Minneapolis Drag’N Thrust,-,5,2021-11-03,CLUB_MIXED
5,6,Philadelphia AMP,-,6,2021-11-03,CLUB_MIXED
6,7,Durham Toro,-,7,2021-11-03,CLUB_MIXED
7,8,Arizona Lawless,-,8,2021-11-03,CLUB_MIXED
8,9,San Francisco Mischief,-,9,2021-11-03,CLUB_MIXED
9,10,Boston Slow,-,10,2021-11-03,CLUB_MIXED
10,11,Boston Sprocket,-,11,2021-11-03,CLUB_MIXED
11,12,Ann Arbor Hybrid,-,12,2021-11-03,CLUB_MIXED
12,13,Dallas Public Enemy,-,13,2021-11-03,CLUB_MIXED
13,14,Seattle Sorta,-,14,2021-11-03,CLUB_MIXED
14,15,New York XIST,-,15,2021-11-03,CLUB_MIXED
15,16,Cleveland Crocs,-,16,2021-11-03,CLUB_MIXED
16,17,Seattle Birdfruit,-,17,2021-11-03,CLUB_MIXED
17,18,Boise Lochsa,-,18,2021-11-03,CLUB_MIXED
18,19,Columbus Cocktails,-,19,2021-11-03,CLUB_MIXED
19,20,Kansas City United,-,20,2021-11-03,CLUB_MIXED
20,21,Chicago U54 Ultimate,-,21,2021-11-03,CLUB_MIXED
21,22,Washington DC Rally,-,22,2021-11-03,CLUB_MIXED
22,23,Nashville ‘Shine,-,23,2021-11-03,CLUB_MIXED
23,24,Oregon Administrators,-,24,2021-11-03,CLUB_MIXED
24,25,Montana MOONDOG,-,25,2021-11-03,CLUB_MIXED
0,1,Washington DC Space Heater,-,1,2021-11-03,CLUB_MIXED
1,2,Seattle Mixtape,-,2,2021-11-03,CLUB_MIXED
2,3,Fort Collins shame.,-,3,2021-11-03,CLUB_MIXED
3,4,Seattle BFG,-,4,2021-11-03,CLUB_MIXED
4,5,Minneapolis Drag’N Thrust,-,5,2021-11-03,CLUB_MIXED
5,6,Philadelphia AMP,-,6,2021-11-03,CLUB_MIXED
6,7,Durham Toro,-,7,2021-11-03,CLUB_MIXED
7,8,Arizona Lawless,-,8,2021-11-03,CLUB_MIXED
8,9,San Francisco Mischief,-,9,2021-11-03,CLUB_MIXED
9,10,Boston Slow,-,10,2021-11-03,CLUB_MIXED
10,11,Boston Sprocket,-,11,2021-11-03,CLUB_MIXED
11,12,Ann Arbor Hybrid,-,12,2021-11-03,CLUB_MIXED
12,13,Dallas Public Enemy,-,13,2021-11-03,CLUB_MIXED
13,14,Seattle Sorta,-,14,2021-11-03,CLUB_MIXED
14,15,New York XIST,-,15,2021-11-03,CLUB_MIXED
15,16,Cleveland Crocs,-,16,2021-11-03,CLUB_MIXED
16,17,Seattle Birdfruit,-,17,2021-11-03,CLUB_MIXED
17,18,Boise Lochsa,-,18,2021-11-03,CLUB_MIXED
18,19,Columbus Cocktails,-,19,2021-11-03,CLUB_MIXED
19,20,Kansas City United,-,20,2021-11-03,CLUB_MIXED
20,21,Chicago U54 Ultimate,-,21,2021-11-03,CLUB_MIXED
21,22,Washington DC Rally,-,22,2021-11-03,CLUB_MIXED
22,23,Nashville ‘Shine,-,23,2021-11-03,CLUB_MIXED
23,24,Oregon Administrators,-,24,2021-11-03,CLUB_MIXED
24,25,Montana MOONDOG,-,25,2021-11-03,CLUB_MIXED
0,1,Washington DC Space Heater,+1,2,2021-11-03,CLUB_MIXED
1,2,Seattle Mixtape,+1,3,2021-11-03,CLUB_MIXED
2,3,Fort Collins shame.,+2,5,2021-11-03,CLUB_MIXED
3,4,Seattle BFG,+2,6,2021-11-03,CLUB_MIXED
4,5,Minneapolis Drag’N Thrust,-1,4,2021-11-03,CLUB_MIXED
5,6,Philadelphia AMP,-5,1,2021-11-03,CLUB_MIXED
6,7,Durham Toro,-,7,2021-11-03,CLUB_MIXED
7,8,Arizona Lawless,+1,9,2021-11-03,CLUB_MIXED
8,9,San Francisco Mischief,+1,10,2021-11-03,CLUB_MIXED
9,10,Boston Slow,-2,8,2021-11-03,CLUB_MIXED
10,11,Boston Sprocket,+4,15,2021-11-03,CLUB_MIXED
11,12,Ann Arbor Hybrid,+7,19,2021-11-03,CLUB_MIXED
12,13,Dallas Public Enemy,-,13,2021-11-03,CLUB_MIXED
13,14,Seattle Sorta,,-,2021-11-03,CLUB_MIXED
14,15,New York XIST,-1,14,2021-11-03,CLUB_MIXED
15,16,Cleveland Crocs,-,16,2021-11-03,CLUB_MIXED
16,17,Seattle Birdfruit,,-,2021-11-03,CLUB_MIXED
17,18,Boise Lochsa,-7,11,2021-11-03,CLUB_MIXED
18,19,Columbus Cocktails,-2,17,2021-11-03,CLUB_MIXED
19,20,Kansas City United,-8,12,2021-11-03,CLUB_MIXED
20,21,Chicago U54 Ultimate,-1,20,2021-11-03,CLUB_MIXED
21,22,Washington DC Rally,-1,21,2021-11-03,CLUB_MIXED
22,23,Nashville ‘Shine,-1,22,2021-11-03,CLUB_MIXED
23,24,Oregon Administrators,,-,2021-11-03,CLUB_MIXED
24,25,Montana MOONDOG,-7,18,2021-11-03,CLUB_MIXED
0,1,Philadelphia AMP,-,1,2021-11-03,CLUB_MIXED
1,2,Washington DC Space Heater,-,2,2021-11-03,CLUB_MIXED
2,3,Seattle Mixtape,+1,4,2021-11-03,CLUB_MIXED
3,4,Minneapolis Drag’N Thrust,+1,5,2021-11-03,CLUB_MIXED
4,5,Fort Collins shame.,+1,6,2021-11-03,CLUB_MIXED
5,6,Seattle BFG,+1,7,2021-11-03,CLUB_MIXED
6,7,Durham Toro,+1,8,2021-11-03,CLUB_MIXED
7,8,Boston Slow,+1,9,2021-11-03,CLUB_MIXED
8,9,Arizona Lawless,+2,11,2021-11-03,CLUB_MIXED
9,10,San Francisco Mischief,-7,3,2021-11-03,CLUB_MIXED
10,11,Boise Lochsa,+1,12,2021-11-03,CLUB_MIXED
11,12,Kansas City United,+1,13,2021-11-03,CLUB_MIXED
12,13,Dallas Public Enemy,+10,23,2021-11-03,CLUB_MIXED
13,14,New York XIST,-,14,2021-11-03,CLUB_MIXED
14,15,Boston Sprocket,-,15,2021-11-03,CLUB_MIXED
15,16,Cleveland Crocs,-,16,2021-11-03,CLUB_MIXED
16,17,Columbus Cocktails,-,17,2021-11-03,CLUB_MIXED
17,18,Montana MOONDOG,-,18,2021-11-03,CLUB_MIXED
18,19,Ann Arbor Hybrid,-,19,2021-11-03,CLUB_MIXED
19,20,Chicago U54 Ultimate,-,20,2021-11-03,CLUB_MIXED
20,21,Washington DC Rally,-,21,2021-11-03,CLUB_MIXED
21,22,Nashville ‘Shine,-,22,2021-11-03,CLUB_MIXED
22,23,Los Angeles Lotus,+1,24,2021-11-03,CLUB_MIXED
23,24,Madison NOISE,,-,2021-11-03,CLUB_MIXED
24,25,Huntsville Space Force,,-,2021-11-03,CLUB_MIXED
0,1,Philadelphia AMP,-,1,2021-11-03,CLUB_MIXED
1,2,Washington DC Space Heater,-,2,2021-11-03,CLUB_MIXED
2,3,San Francisco Mischief,-,3,2021-11-03,CLUB_MIXED
3,4,Seattle Mixtape,-,4,2021-11-03,CLUB_MIXED
4,5,Minneapolis Drag’N Thrust,-,5,2021-11-03,CLUB_MIXED
5,6,Fort Collins shame.,-,6,2021-11-03,CLUB_MIXED
6,7,Seattle BFG,-,7,2021-11-03,CLUB_MIXED
7,8,Durham Toro,-,8,2021-11-03,CLUB_MIXED
8,9,Boston Slow,-,9,2021-11-03,CLUB_MIXED
9,10,Asheville Superlame,-,10,2021-11-03,CLUB_MIXED
10,11,Arizona Lawless,-,11,2021-11-03,CLUB_MIXED
11,12,Boise Lochsa,-,12,2021-11-03,CLUB_MIXED
12,13,Kansas City United,-,13,2021-11-03,CLUB_MIXED
13,14,New York XIST,-,14,2021-11-03,CLUB_MIXED
14,15,Boston Sprocket,-,15,2021-11-03,CLUB_MIXED
15,16,Cleveland Crocs,-,16,2021-11-03,CLUB_MIXED
16,17,Columbus Cocktails,-,17,2021-11-03,CLUB_MIXED
17,18,Montana MOONDOG,-,18,2021-11-03,CLUB_MIXED
18,19,Ann Arbor Hybrid,-,19,2021-11-03,CLUB_MIXED
19,20,Chicago U54 Ultimate,,-,2021-11-03,CLUB_MIXED
20,21,Washington DC Rally,-1,20,2021-11-03,CLUB_MIXED
21,22,Nashville ‘Shine,-1,21,2021-11-03,CLUB_MIXED
22,23,Dallas Public Enemy,-1,22,2021-11-03,CLUB_MIXED
23,24,Los Angeles Lotus,-1,23,2021-11-03,CLUB_MIXED
24,25,Vancouver Red Flag,-1,24,2021-11-03,CLUB_MIXED
0,1,Philadelphia AMP,-,1,2021-11-03,CLUB_MIXED
1,2,Washington DC Space Heater,-,2,2021-11-03,CLUB_MIXED
2,3,San Francisco Mischief,-,3,2021-11-03,CLUB_MIXED
3,4,Seattle Mixtape,-,4,2021-11-03,CLUB_MIXED
4,5,Minneapolis Drag’N Thrust,-,5,2021-11-03,CLUB_MIXED
5,6,Fort Collins shame.,-,6,2021-11-03,CLUB_MIXED
6,7,Seattle BFG,-,7,2021-11-03,CLUB_MIXED
7,8,Durham Toro,-,8,2021-11-03,CLUB_MIXED
8,9,Boston Slow,-,9,2021-11-03,CLUB_MIXED
9,10,Asheville Superlame,-,10,2021-11-03,CLUB_MIXED
10,11,Arizona Lawless,-,11,2021-11-03,CLUB_MIXED
11,12,Boise Lochsa,-,12,2021-11-03,CLUB_MIXED
12,13,Kansas City United,-,13,2021-11-03,CLUB_MIXED
13,14,New York XIST,-,14,2021-11-03,CLUB_MIXED
14,15,Boston Sprocket,-,15,2021-11-03,CLUB_MIXED
15,16,Cleveland Crocs,-,16,2021-11-03,CLUB_MIXED
16,17,Columbus Cocktails,-,17,2021-11-03,CLUB_MIXED
17,18,Montana MOONDOG,-,18,2021-11-03,CLUB_MIXED
18,19,Ann Arbor Hybrid,-,19,2021-11-03,CLUB_MIXED
19,20,Washington DC Rally,-,20,2021-11-03,CLUB_MIXED
20,21,Nashville ‘Shine,-,21,2021-11-03,CLUB_MIXED
21,22,Dallas Public Enemy,+1,23,2021-11-03,CLUB_MIXED
22,23,Los Angeles Lotus,-1,22,2021-11-03,CLUB_MIXED
23,24,Vancouver Red Flag,-,24,2021-11-03,CLUB_MIXED
24,25,San Francisco Polar Bears,-,25,2021-11-03,CLUB_MIXED
0,1,Philadelphia AMP,-,1,2021-11-03,CLUB_MIXED
1,2,Washington DC Space Heater,-,2,2021-11-03,CLUB_MIXED
2,3,San Francisco Mischief,-,3,2021-11-03,CLUB_MIXED
3,4,Seattle Mixtape,-,4,2021-11-03,CLUB_MIXED
4,5,Minneapolis Drag’N Thrust,-,5,2021-11-03,CLUB_MIXED
5,6,Fort Collins shame.,-,6,2021-11-03,CLUB_MIXED
6,7,Seattle BFG,-,7,2021-11-03,CLUB_MIXED
7,8,Durham Toro,-,8,2021-11-03,CLUB_MIXED
8,9,Boston Slow,-,9,2021-11-03,CLUB_MIXED
9,10,Asheville Superlame,-,10,2021-11-03,CLUB_MIXED
10,11,Arizona Lawless,-,11,2021-11-03,CLUB_MIXED
11,12,Boise Lochsa,-,12,2021-11-03,CLUB_MIXED
12,13,Kansas City United,-,13,2021-11-03,CLUB_MIXED
13,14,New York XIST,-,14,2021-11-03,CLUB_MIXED
14,15,Boston Sprocket,-,15,2021-11-03,CLUB_MIXED
15,16,Cleveland Crocs,,-,2021-11-03,CLUB_MIXED
16,17,Columbus Cocktails,-1,16,2021-11-03,CLUB_MIXED
17,18,Montana MOONDOG,-1,17,2021-11-03,CLUB_MIXED
18,19,Ann Arbor Hybrid,-1,18,2021-11-03,CLUB_MIXED
19,20,Washington DC Rally,,-,2021-11-03,CLUB_MIXED
20,21,Nashville ‘Shine,+3,24,2021-11-03,CLUB_MIXED
21,22,Los Angeles Lotus,-3,19,2021-11-03,CLUB_MIXED
22,23,Dallas Public Enemy,-3,20,2021-11-03,CLUB_MIXED
23,24,Vancouver Red Flag,-3,21,2021-11-03,CLUB_MIXED
24,25,San Francisco Polar Bears,-3,22,2021-11-03,CLUB_MIXED
0,1,Philadelphia AMP,-,1,2021-11-03,CLUB_MIXED
1,2,Washington DC Space Heater,+1,3,2021-11-03,CLUB_MIXED
2,3,San Francisco Mischief,-1,2,2021-11-03,CLUB_MIXED
3,4,Seattle Mixtape,-,4,2021-11-03,CLUB_MIXED
4,5,Minneapolis Drag’N Thrust,-,5,2021-11-03,CLUB_MIXED
5,6,Fort Collins shame.,-,6,2021-11-03,CLUB_MIXED
6,7,Seattle BFG,-,7,2021-11-03,CLUB_MIXED
7,8,Durham Toro,-,8,2021-11-03,CLUB_MIXED
8,9,Boston Slow,-,9,2021-11-03,CLUB_MIXED
9,10,Asheville Superlame,+1,11,2021-11-03,CLUB_MIXED
10,11,Arizona Lawless,+1,12,2021-11-03,CLUB_MIXED
11,12,Boise Lochsa,+1,13,2021-11-03,CLUB_MIXED
12,13,Kansas City United,+1,14,2021-11-03,CLUB_MIXED
13,14,New York XIST,+4,18,2021-11-03,CLUB_MIXED
14,15,Boston Sprocket,-5,10,2021-11-03,CLUB_MIXED
15,16,Columbus Cocktails,-1,15,2021-11-03,CLUB_MIXED
16,17,Montana MOONDOG,-1,16,2021-11-03,CLUB_MIXED
17,18,Ann Arbor Hybrid,-1,17,2021-11-03,CLUB_MIXED
18,19,Los Angeles Lotus,-,19,2021-11-03,CLUB_MIXED
19,20,Dallas Public Enemy,-,20,2021-11-03,CLUB_MIXED
20,21,Vancouver Red Flag,-,21,2021-11-03,CLUB_MIXED
21,22,San Francisco Polar Bears,-,22,2021-11-03,CLUB_MIXED
22,23,Madison NOISE,-,23,2021-11-03,CLUB_MIXED
23,24,Nashville ‘Shine,-,24,2021-11-03,CLUB_MIXED
24,25,Minneapolis No Touching,-,25,2021-11-03,CLUB_MIXED
0,1,Philadelphia AMP,-,1,2021-11-03,CLUB_MIXED
1,2,San Francisco Mischief,-,2,2021-11-03,CLUB_MIXED
2,3,Washington DC Space Heater,-,3,2021-11-03,CLUB_MIXED
3,4,Seattle Mixtape,-,4,2021-11-03,CLUB_MIXED
4,5,Minneapolis Drag’N Thrust,-,5,2021-11-03,CLUB_MIXED
5,6,Fort Collins shame.,-,6,2021-11-03,CLUB_MIXED
6,7,Seattle BFG,-,7,2021-11-03,CLUB_MIXED
7,8,Durham Toro,+1,9,2021-11-03,CLUB_MIXED
8,9,Boston Slow,+1,10,2021-11-03,CLUB_MIXED
9,10,Boston Sprocket,+1,11,2021-11-03,CLUB_MIXED
10,11,Asheville Superlame,+1,12,2021-11-03,CLUB_MIXED
11,12,Arizona Lawless,+13,25,2021-11-03,CLUB_MIXED
12,13,Boise Lochsa,+1,14,2021-11-03,CLUB_MIXED
13,14,Kansas City United,+9,23,2021-11-03,CLUB_MIXED
14,15,Columbus Cocktails,-7,8,2021-11-03,CLUB_MIXED
15,16,Montana MOONDOG,-,16,2021-11-03,CLUB_MIXED
16,17,Ann Arbor Hybrid,-,17,2021-11-03,CLUB_MIXED
17,18,New York XIST,-,18,2021-11-03,CLUB_MIXED
18,19,Los Angeles Lotus,-6,13,2021-11-03,CLUB_MIXED
19,20,Dallas Public Enemy,-1,19,2021-11-03,CLUB_MIXED
20,21,Vancouver Red Flag,-1,20,2021-11-03,CLUB_MIXED
21,22,San Francisco Polar Bears,-1,21,2021-11-03,CLUB_MIXED
22,23,Madison NOISE,-1,22,2021-11-03,CLUB_MIXED
23,24,Nashville ‘Shine,,-,2021-11-03,CLUB_MIXED
24,25,Minneapolis No Touching,,-,2021-11-03,CLUB_MIXED
0,1,Philadelphia AMP,,,2021-11-03,CLUB_MIXED
1,2,San Francisco Mischief,,,2021-11-03,CLUB_MIXED
2,3,Washington DC Space Heater,,,2021-11-03,CLUB_MIXED
3,4,Seattle Mixtape,,,2021-11-03,CLUB_MIXED
4,5,Minneapolis Drag’N Thrust,,,2021-11-03,CLUB_MIXED
5,6,Fort Collins shame.,,,2021-11-03,CLUB_MIXED
6,7,Seattle BFG,,,2021-11-03,CLUB_MIXED
7,8,Columbus Cocktails,,,2021-11-03,CLUB_MIXED
8,9,Durham Toro,,,2021-11-03,CLUB_MIXED
9,10,Boston Slow,,,2021-11-03,CLUB_MIXED
10,11,Boston Sprocket,,,2021-11-03,CLUB_MIXED
11,12,Asheville Superlame,,,2021-11-03,CLUB_MIXED
12,13,Los Angeles Lotus,,,2021-11-03,CLUB_MIXED
13,14,Boise Lochsa,,,2021-11-03,CLUB_MIXED
14,15,Denver Love Tractor,,,2021-11-03,CLUB_MIXED
15,16,Montana MOONDOG,,,2021-11-03,CLUB_MIXED
16,17,Ann Arbor Hybrid,,,2021-11-03,CLUB_MIXED
17,18,New York XIST,,,2021-11-03,CLUB_MIXED
18,19,Dallas Public Enemy,,,2021-11-03,CLUB_MIXED
19,20,Vancouver Red Flag,,,2021-11-03,CLUB_MIXED
20,21,San Francisco Polar Bears,,,2021-11-03,CLUB_MIXED
21,22,Madison NOISE,,,2021-11-03,CLUB_MIXED
22,23,Kansas City United,,,2021-11-03,CLUB_MIXED
23,24,West Chester Loco,,,2021-11-03,CLUB_MIXED
24,25,Arizona Lawless,,,2021-11-03,CLUB_MIXED
0,1,Philadelphia AMP,+1,2,2019-11-20,CLUB_MIXED
1,2,San Francisco Mischief,+6,8,2019-11-20,CLUB_MIXED
2,3,Minneapolis Drag’N Thrust,-2,1,2019-11-20,CLUB_MIXED
3,4,Seattle Mixtape,-1,3,2019-11-20,CLUB_MIXED
4,5,Seattle BFG,+4,9,2019-11-20,CLUB_MIXED
5,6,Fort Collins shame.,+5,11,2019-11-20,CLUB_MIXED
6,7,Dallas Public Enemy,+3,10,2019-11-20,CLUB_MIXED
7,8,Asheville Superlame,+4,12,2019-11-20,CLUB_MIXED
8,9,Boston Wild Card,-5,4,2019-11-20,CLUB_MIXED
9,10,Washington DC Space Heater,-3,7,2019-11-20,CLUB_MIXED
10,11,Boston Snake Country,-5,6,2019-11-20,CLUB_MIXED
11,12,Boston Slow,-7,5,2019-11-20,CLUB_MIXED
12,13,Durham Toro,-,13,2019-11-20,CLUB_MIXED
13,14,Columbus Cocktails,+2,16,2019-11-20,CLUB_MIXED
14,15,Denver Love Tractor,-1,14,2019-11-20,CLUB_MIXED
15,16,San Francisco Polar Bears,+1,17,2019-11-20,CLUB_MIXED
16,17,San Francisco Blackbird,+1,18,2019-11-20,CLUB_MIXED
17,18,Montana MOONDOG,+1,19,2019-11-20,CLUB_MIXED
18,19,Boise Lochsa,+1,20,2019-11-20,CLUB_MIXED
19,20,West Chester Loco,-5,15,2019-11-20,CLUB_MIXED
20,21,Chicago U54 Ultimate,-,21,2019-11-20,CLUB_MIXED
21,22,Ann Arbor Hybrid,-,22,2019-11-20,CLUB_MIXED
